RNC_ID,RNC_NAME,WCEL_ID,WCEL_NAME,PERIOD_START_TIME,DENIED_AMX,DENIED_R99_COMCEL,DENIED_HSDPA_COMCEL,DROP_CALL_AMX,DROP_CALL_R99_COMCEL,DROP_CALL_HSDPA_COMCEL,THROUGHPUT_DL_R99_AMX,THROUGHPUT_DL_HSDPA_AMX,THROUGHPUT_DL_R99_COMCEL,THROUGHPUT_DL_HSDPA_COMCEL,TRAFFIC_R99_DL_AMX,TRAFFIC_R99_UL_AMX,TRAFFIC_HSDPA_AMX,TRAFFIC_TOTAL_AMX,PAYLOAD_R99_DL_R99_COMCEL,PAYLOAD_R99_UL_R99_COMCEL,PAYLOAD_HSDPA_DL_R99_COMCEL,PAYLOAD_HSDPA_UL_R99_COMCEL,AVG_USUARIOS_HSUPA,AVG_USUARIOS_HSDPA,MAX_USUARIOS_HSUPA,MAX_USUARIOS_HSDPA,AVG_CQI
671176,RNC04MED,698461,ANT.Acuarela_I,24/10/2017 13:00:00,0,0,0.63,0.9,2.14,1.27,271.73,884.85,0.62,1061.01,279.32,195.04,477456.25,477930.61,279.32,195.04,477456.25,0,9.72,7.94,24,22,19.7
671176,RNC04MED,698503,ANT.Acuarela_J,24/10/2017 19:00:00,0,0,0.34,3.2,7.32,1.03,233.35,755.64,0.04,355.03,19.04,15.97,159762.1,159797.11,19.04,15.97,159762.1,36.85,4.11,3.07,12,9,22.05
671176,RNC04MED,698401,ANT.Acuarela_K,24/10/2017 10:00:00,0.45,0.45,0.82,1.11,1.71,1.72,0,0,0.4,1040.71,181.53,82.9,468318.14,468582.57,181.53,82.9,468318.14,22.04,10.49,8.93,27,25,18.73
671176,RNC04MED,698545,ANT.Acuarela_O,24/10/2017 13:00:00,0.7,0.7,0.86,4.35,6.78,1.52,268.39,806.08,0.96,969.57,430.31,363.77,436304.38,437098.46,430.31,363.77,436304.38,0,10.01,7.78,24,22,21.64
671176,RNC04MED,698586,ANT.Acuarela_P,24/10/2017 19:00:00,0,0,0.65,1.16,2.94,0.85,328.09,948.81,0.09,401.47,40.43,31.88,180663.22,180735.53,40.43,31.88,180663.22,1.51,3.96,2.97,12,8,22.36
671176,RNC04MED,698431,ANT.Acuarela_Q,24/10/2017 10:00:00,0.63,0.63,0.53,1.88,2.73,1.35,0,0,0.12,1134.75,54.98,67.04,510636.93,510758.95,54.98,67.04,510636.93,123.06,10.63,9.22,28,26,19.48
671176,RNC04MED,721511,ANT.Acuarela_X,24/10/2017 13:00:00,0,0,1.01,0.66,2.08,0.44,297.08,854.44,0.15,818.59,68.27,80.89,368364.55,368513.71,68.27,80.89,368364.55,0,6.6,5.18,15,14,22.56
671176,RNC04MED,721574,ANT.Acuarela_Y,24/10/2017 19:00:00,0,0,0,0,0,0,245.52,921.64,0.03,177.98,11.26,21.12,80092.09,80124.47,11.26,21.12,80092.09,0.5,2.11,1.32,7,5,23.37
671176,RNC04MED,721624,ANT.Acuarela_Y1,24/10/2017 13:00:00,0,0,0.45,1.13,4.71,0.35,0,0,0.23,773.47,101.77,92.29,348062.29,348256.35,101.77,92.29,348062.29,0,6.16,4.66,15,12,21.31
671176,RNC04MED,721675,ANT.Acuarela_Y2,24/10/2017 15:00:00,2.04,2.04,0.15,3.92,10,0.31,0,0,0.07,524.26,29.27,19.7,235916.36,235965.33,29.27,19.7,235916.36,56.25,2.8,1.26,11,8,19.25
